TIME_MESSAGE,MESSAGE,REGION,MESSAGE TYPE,CATEGORY
2023-06-14 9:47:19 PM,Mindanao Grid-06/14/2023 21:48: WMPC DG01 cut-out at 1401H from RPS. [WEBSMS],CMIN,outage,plant
2023-06-14 9:44:44 PM,Mindanao Grid-06/14/2023 21:45: WMPC DG05 cut-out at 2143H from RPS. [WEBSMS],CMIN,outage,plant
2023-06-14 9:29:17 PM,Mindanao Grid-06/14/2023 21:29: WMPC DG07 cut-out at 2123H from RPS.  [WEBSMS],CMIN,outage,plant
2023-06-14 8:59:30 PM,Mindanao Grid-06/14/2023 21:00: Sibulan Hedcor synchronized back to the grid at 2057H from Forced Outage.  [WEBSMS],CMIN,restoration,plant
2023-06-14 8:55:57 PM,"Mindanao Grid-06/14/2023 20:56: Sibulan Hedcor tripped at 2036H with generation loss of 24.56MW, affected by the tripping of Hedcor feeder PSS-Sibulan 69kV line.  [WEBSMS]",CMIN,outage,plant
2023-06-14 8:35:55 PM,Mindanao Grid-06/14/2023 20:35: WMPC DG09 cut-out at 2033H from RPS [WEBSMS],CMIN,outage,plant
2023-06-14 7:55:21 PM,Mindanao Grid-06/14/2023 19:56: WMPC DG02 cut-out at 1953H from RPS. [WEBSMS],CMIN,outage,plant
2023-06-14 7:01:21 PM,Mindanao Grid-06/14/2023 19:02: WMPC DG06 cut-out at 1858 from RPS [WEBSMS],CMIN,outage,plant
2023-06-14 6:07:31 PM,"Mindanao Grid-06/14/2023 18:06: KEGI JIMENEZ DG 2 cut out at 1757H, end of RPS. time of call 1746H.  [WEBSMS]",CMIN,outage,plant
2023-06-14 6:07:29 PM,Luzon Grid-06/14/2023 18:00: Ilijan PCB 9-02CB04ILJ restored at 1758H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-14 6:02:31 PM,"Mindanao Grid-06/14/2023 18:03: KEGI PANAON DG 01 cut out at 1752h, end of RPS. Time of call 1745H.  [WEBSMS]",CMIN,outage,plant
2023-06-14 5:59:58 PM,"Mindanao Grid-06/14/2023 18:00: KEGI PANAON DG 01 cut out at 1745h, end of RPS. Time of call H.  [WEBSMS]",CMIN,outage,plant
2023-06-14 5:57:29 PM,"[NSO Update] Luzon Grid-06/14/2023 17:52: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=12153MW, PK=10920MW, RR=170MW, NetOpMargin: EVE=1063 Highest Unit O/L: GNPD U1 & U2 @ 668MW Derated Plant: CLC1 @220MW, CLC2 @180MW, MSLC2 @315MW, MSLC3 @290MW, SLPGC 1 @70MW, SUAL 1 @580MW [WEBSMS]",CLUZ,other,plant
2023-06-14 5:52:20 PM,Mindanao Grid-06/14/2023 17:53: WMPC DG01 cut-out at 1743 from RPS.  [WEBSMS],CMIN,outage,plant
2023-06-14 5:51:04 PM,"[NSO Update] Visayas Grid-06/14/2023 17:48: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=2437MW, PK=2235MW, RR=0MW, NetOpMargin: EVE=202 Highest Unit O/L: THVI U1&U2 @169MW Derated Plant: TPC-Thermal @82MW, EDC total @320MW [WEBSMS]",CVIS,other,plant
2023-06-14 5:44:58 PM,[NSO Update] Mindanao Grid-06/14/2023 17:44: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) blocked at 1740H from forward power direction (MVIP Test).  [WEBSMS],CMIN,other,line
2023-06-14 5:44:57 PM,"[NSO Update] Mindanao Grid-06/14/2023 17:44: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=3230MW, PK=1995MW, RR=30MW, NetOpMargin: EVE=1205 Highest Unit O/L: GNPK U2&U3 @138MW Derated Plant:  MCC @150MW, MPC @40MW, MA1 @29MW, MA2 @50MW, AG1 @57MW, AG2 @90MW, AG4 @105MW, AG5 @40MW, AG6 @121MW, AG7 @23MW, PG4 @110MW [WEBSMS]",CMIN,other,plant
2023-06-14 5:42:59 PM,[NSO Update] Visayas Grid-06/14/2023 17:42: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) blocked at 1740H from forward power direction (MVIP Test).  [WEBSMS],CVIS,other,line
2023-06-14 5:17:40 PM,"Visayas Grid-06/14/2023 17:16: 138KV Ormoc -Maasin Line 2 energized at 1652H, & 138KV Maasin- Ubay (Bohol sub-grid) energized at 1654H. restoration for Bohol sub-grid on going.  [WEBSMS]",CVIS,other,line
2023-06-14 5:14:08 PM,Luzon Grid-06/14/2023 17:08: Sta. Rita 20 online at 1700H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-14 5:14:07 PM,Luzon Grid-06/14/2023 17:07: Sta. Rita 20 online at 1700H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-14 5:04:09 PM,Mindanao Grid-06/14/2023 17:03: WMPC DG03 and DG08 cut-out at 1658 from RPS. [WEBSMS],CMIN,outage,plant
2023-06-14 4:53:32 PM,"Visayas Grid-06/14/2023 16:53: 138KV Ormoc -Maasin Line 1 & 2 tripped at 1635H, under assessment.  [WEBSMS]",CVIS,outage,line
2023-06-14 2:36:52 PM,Luzon Grid-06/14/2023 14:36: Labo - Gumaca 230kV Line 2 restored at 1436H. (Planned Outage)  [WEBSMS],CLUZ,restoration,line
2023-06-14 2:33:10 PM,[NSO Update] Mindanao Grid-06/14/2023 14:32: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) was de-blocked at 1429H with power going to Visayas (MVIP Test).  [WEBSMS],CMIN,other,line
2023-06-14 2:31:07 PM,[NSO Update] Visayas Grid-06/14/2023 14:30: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) was de-blocked at 1429H with power going to Visayas (MVIP Test).  [WEBSMS],CVIS,other,line
2023-06-14 2:20:34 PM,Luzon Grid-06/14/2023 14:15: Dasmarinas - Ternate(TMC) 115kV line  tripped/reclosed at 1407H. (Unplanned Outage)  [WEBSMS],CLUZ,outage,line
2023-06-14 2:00:17 PM,"Mindanao Grid-06/14/2023 14:01: KG Jimenez DG2 (8.4MW) RPS activated. Call time: 1303H, Cut-in time: 1309H, RPS Start: 1311H. FL: 1320H.  [WEBSMS]",CMIN,other,plant
2023-06-14 1:33:13 PM,Luzon Grid-06/14/2023 13:33: Sta. Rita 20 tripped with 255MW at 1329H. Lowest system frequency reached 59.128Hz. (Unplanned Outage)  [WEBSMS],CLUZ,outage,plant
2023-06-14 1:29:38 PM,[NSO Update] Mindanao Grid-06/14/2023 13:29: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) blocked at 1321H from forward power direction (MVIP Test).  [WEBSMS],CMIN,other,line
2023-06-14 1:28:40 PM,[NSO Update] Visayas Grid-06/14/2023 13:28: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) blocked at 1321H from forward power direction (MVIP Test).  [WEBSMS],CVIS,other,line
2023-06-14 1:13:53 PM,Luzon Grid-06/14/2023 13:09: Ilijan PCB 9-02CB04ILJ de-energized at 1308H. (Unplanned Outage)  [WEBSMS],CLUZ,outage,plant
2023-06-14 12:46:15 PM,"[NSO Update] Mindanao Grid-06/14/2023 12:46: GRID UPDATE AS OF 1:00 PM System Condition: NORMAL CAP=3255MW, PK=2173MW, RR=30MW, NetOpMargin: PM=1052, EVE=1163 Highest Unit O/L: GNPK U2&U3 @138MW Derated Plant: MCC @150MW, MPC @40MW, MA1 @29MW, MA2 @50MW, AG1 @57MW, AG2 @90MW, AG4 @100MW, AG5 @32MW, AG6 @121MW, AG7 @23MW, PG4 @110MW [WEBSMS]",CMIN,other,plant
2023-06-14 12:45:47 PM,"[NSO Update] Visayas Grid-06/14/2023 12:43: GRID UPDATE AS OF 1:00 PM System Condition: NORMAL CAP=2718MW, PK=2376MW, RR=0MW, NetOpMargin: PM=342, EVE=318 Highest Unit O/L: THVI U1&U2 @169MW Derated Plant: TPC-Thermal @82MW, EDC total @320MW [WEBSMS]",CVIS,other,plant
2023-06-14 12:43:51 PM,"[NSO Update] Luzon Grid-06/14/2023 12:41: GRID UPDATE AS OF 1:00 PM System Condition: NORMAL CAP=13156MW, PK=11655MW, RR=260MW, NetOpMargin: PM=1242, EVE=1948 Highest Unit O/L: GNPD U1&U2 @668MW Derated Plant: CLC1 @220MW, CLC2 @180MW, MSLC2 @300MW, MSLC3 @280MW, SLPGC 1 @40MW, SUAL 1 @580MW [WEBSMS]",CLUZ,other,plant
2023-06-14 11:42:11 AM,"Mindanao Grid-06/14/2023 11:41: KG Pana-on DG1 (7.8MW) RPS activated. Call time: 1056H, cut-in: 1101H, RPS Start: 1104H, FL attained: 1107H...  [WEBSMS]",CMIN,other,plant
2023-06-14 10:28:48 AM,[NSO Update] Mindanao Grid-06/14/2023 10:28: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) was de-blocked at 1023H with power going to Visayas (MVIP Test).  [WEBSMS],CMIN,other,line
2023-06-14 10:26:55 AM,[NSO Update] Visayas Grid-06/14/2023 10:26: Lala-Dumanjug 350kV HVDC (Mindanao-Visayas) was de-blocked at 1023H with power going to Visayas (MVIP Test).  [WEBSMS],CVIS,other,line
2023-06-14 9:53:29 AM,Mindanao Grid-06/14/2023 09:54: WMPC DG2 cut-in as RPS at 0950H. RPS - System Voltage Requirement. [WEBSMS],CMIN,other,plant
2023-06-14 9:12:43 AM,Mindanao Grid-06/14/2023 09:13: WMPC DG3 cut-in as RPS at 0908H. RPS - System Voltage Requirement. [WEBSMS],CMIN,other,plant
2023-06-14 9:09:23 AM,Mindanao Grid-06/14/2023 09:10: WMPC DG8 cut-in as RPS at 0907H. RPS - System Voltage Requirement. [WEBSMS],CMIN,other,plant
2023-06-14 9:07:04 AM,Luzon Grid-06/14/2023 09:02: SLPGC U1 online at 0859H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-14 8:53:45 AM,Mindanao Grid-06/14/2023 08:52: WMPC DG9 cut-in as RPS at 0850H. RPS - System Voltage Requirement. [WEBSMS],CMIN,other,plant
2023-06-14 8:26:00 AM,Luzon Grid-06/14/2023 08:24: SLPGC U1 offline at 0733H. (Unplanned Outage)  [WEBSMS],CLUZ,outage,plant
2023-06-14 8:04:59 AM,Mindanao Grid-06/14/2023 08:04: WMPC DG5 and DG7 cut-in as RPS at 0800H simultaneously. RPS - System Voltage Requirement. [WEBSMS],CMIN,other,plant
2023-06-14 7:29:55 AM,Luzon Grid-06/14/2023 07:28: San Jose-Balsik 500kV Line restored at 0728H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,line
2023-06-14 7:14:08 AM,Luzon Grid-06/14/2023 07:14: Labo - Gumaca 230kV Line 2 de-energized at 0713H. (Planned Outage)  [WEBSMS],CLUZ,outage,line
2023-06-14 7:11:37 AM,Mindanao Grid-06/14/2023 07:08: AGC(Lake Mainit) cut-in at 0703H. From FO. [WEBSMS],CMIN,other,plant
2023-06-14 6:51:37 AM,Mindanao Grid-06/14/2023 06:48: AGC(Lake Mainit Mini Hydro) EG trip. Generation Loss of 11MW; Minimum frequency reach was 59.7982Hz. [WEBSMS],CMIN,outage,plant
2023-06-14 5:59:31 AM,"[NSO Update] Luzon Grid-06/14/2023 05:53: GRID UPDATE AS OF 6:00 AM System Condition: NORMAL CAP=13309MW, PK=11306MW, RR=170MW, NetOpMargin: AM=1833, PM=1495, EVE=2222 Highest Unit O/L: GNPD 1 & 2 @ 668MW Derated Plant: Calaca 1 @ 220MW, Calaca 2 @ 180MW, Masinloc 2 @ 300MW, Masinloc 3 @ 280MW, Sual 1 @ 580MW [WEBSMS]",CLUZ,other,plant
2023-06-14 5:54:34 AM,"[NSO Update] Mindanao Grid-06/14/2023 05:52: GRID UPDATE AS OF 6:00 AM System Condition: NORMAL CAP=3270MW, PK=2131MW, RR=30MW, NetOpMargin: AM=1109, PM=1009, EVE=1054 Highest Unit O/L: GNPK 2 & 3 @ 138MW Derated Plant: MCC @150MW, MPC @40MW, MA1 @29MW, MA2 @50MW, AG1 @57MW, AG2 @90MW, AG4 @100MW, AG5 @32MW, AG6 @121MW, AG7 @23MW, PG4 @110MW [WEBSMS]",CMIN,other,plant
2023-06-14 5:52:14 AM,"[NSO Update] Visayas Grid-06/14/2023 05:50: GRID UPDATE AS OF 6:00 AM System Condition: NORMAL CAP=2680MW, PK=2310MW, RR=0MW, NetOpMargin: AM=371, PM=362, EVE=343 Highest Unit O/L: THVI 1 & 2 @ 169MW Derated Plant: TPC Thermal @ 82MW, EDC Total @ 335MW [WEBSMS]",CVIS,other,plant
2023-06-14 4:56:10 AM,Luzon Grid-06/14/2023 04:51: Binan-San Pedro 115kV Line de-energized at 0449H (Planned Outage)  [WEBSMS],CLUZ,outage,line
2023-06-14 4:12:49 AM,[NSO Update] Luzon Grid-06/14/2023 04:05: Weather Update: Southwest Monsoon affecting Northern and Central Luzon.  [WEBSMS],CLUZ,other,weather
2023-06-14 4:05:12 AM,[NSO Update] Mindanao Grid-06/14/2023 04:06: Weather Update: Southwest Monsoon affecting Northern and Central Luzon.  [WEBSMS],CMIN,other,weather
2023-06-14 4:04:49 AM,[NSO Update] Visayas Grid-06/14/2023 04:04: Weather Update: Southwest Monsoon affecting Northern and Central Luzon.  [WEBSMS],CVIS,other,weather
2023-06-14 3:36:34 AM,Visayas Grid-06/14/2023 03:36: KSPC U1 cut-in from forced outage at 0333H with an initial load of 5 MW  [WEBSMS],CVIS,outage,plant
2023-06-14 3:19:26 AM,Luzon Grid-06/14/2023 03:19: SLPGC U1 online at 0315H. (Unplanned Outage)  [WEBSMS],CLUZ,restoration,plant
2023-06-14 1:19:23 AM,Luzon Grid-06/14/2023 01:15: Binan-San Pedro 115kV Line de-energized at 0113H (Planned Outage)  [WEBSMS],CLUZ,outage,line
2023-06-13 11:24:19 PM,"Mindanao Grid-06/13/2023 23:24: BUNAWAN SS 138KV BUS 1 restored at 2215H, Planned outage/PO00AC/Non-GOMP. Commissioning of new Bus Protection under MSRPI  and etc with approved ERP.  [WEBSMS]",CMIN,restoration,plant
